Date,Open.SBI,High.SBI,Low.SBI,Close.SBI,Adj Close.SBI,Volume.SBI,Open.RCOM,High.Rcom,Low.Rcom,Close.Rcom,Adj Close.Rcom,Volume.Rcom,Open.kcp,High.kcp,Low.kcp,Close.kcp,Adj Close.kcp,Volume.kcp,Open.HDFC,High.HDFC,Low.HDFC,Close.HDFC,Adj Close.HDFC,Volume.HDFC,Open.HATH,High.HATH,Low.HATH,Close.HATH,Adj Close.HATH,Volume.HATH
4/11/2017,289.299988,295.149994,288.799988,294.5,291.860565,11682024,37.5,38.150002,37.299999,37.650002,37.650002,7371708,122.400002,126.800003,120.800003,124.849998,122.439774,196525,1434,1441.199951,1431.5,1439.5,1429.998047,1089065,35.900002,37.349998,35.799999,36.700001,36.700001,68735
4/12/2017,294,295.450012,289.100006,290.149994,287.54953,13251421,38.099998,38.099998,36.349998,36.799999,36.799999,9572138,125,126,118.699997,121.099998,118.762161,118660,1439,1449.949951,1435.5,1443.699951,1434.170288,891273,37.299999,37.950001,36,37.299999,37.299999,98886
4/13/2017,290.25,293.100006,290,291.549988,288.936981,9944020,36.299999,36.799999,35.599998,35.75,35.75,9630503,121.849998,124.699997,119.199997,120.349998,118.026642,42782,1443,1448.900024,1437.050049,1440.300049,1430.792847,1201059,37.400002,38.200001,36.599998,37.599998,37.599998,125677
4/17/2017,291.549988,292.75,288.5,289.899994,287.301788,8146800,35.75,35.950001,34,34.200001,34.200001,15009975,120.349998,123,117.900002,122.199997,119.840927,71275,1440.300049,1443.800049,1428.25,1436.800049,1427.315918,1784264,37.599998,38.049999,37.400002,37.75,37.75,44746
4/18/2017,291.049988,296.899994,288.399994,290.299988,287.698181,13457050,34.400002,35.299999,33.799999,34,34,14046683,122,128.399994,122,123.300003,120.919701,136597,1440,1455,1438,1447.300049,1437.746582,909715,37.75,40,37.049999,37.450001,37.450001,269708
4/19/2017,291.549988,291.75,282.899994,284.049988,281.504211,18149995,34,34.200001,33.450001,33.700001,33.700001,9056303,123.400002,124,121.25,123.300003,120.919701,20323,1447,1456.75,1438,1449,1439.435303,1084536,37.5,44.900002,36.950001,44.900002,44.900002,3464362
4/20/2017,283.899994,286.899994,282.200012,284.799988,282.247467,14514929,33.700001,34.200001,33.5,33.799999,33.799999,6846651,124,127.800003,124,125.449997,123.028183,47146,1453,1466.050049,1452.949951,1462.150024,1452.498535,1445343,46,46.599998,43.25,44.150002,44.150002,483441
4/21/2017,287,287,279.25,282.200012,279.670807,12042308,34.150002,34.450001,33.650002,33.849998,33.849998,10795629,127.25,131.149994,125.25,128.649994,126.166405,82873,1466,1499,1453.300049,1496.599976,1486.721191,4314508,44.900002,45.400002,42.700001,44.049999,44.049999,275610
4/24/2017,283.25,287.850006,280.899994,286.049988,283.486267,10077853,34.150002,34.849998,33.799999,34.400002,34.400002,11349610,131,137.949997,129,133.350006,130.775681,153076,1498.099976,1539,1497,1533.050049,1522.930664,5051738,44.5,49.450001,42.400002,47.099998,47.099998,406307
4/25/2017,287.5,288.799988,285,286.049988,283.486267,11531902,35,35.299999,34.299999,34.450001,34.450001,10753597,134.5,135.899994,126,132.100006,129.54982,98316,1535.050049,1545.5,1529.599976,1537.050049,1526.904175,2264445,47.75,47.75,45.799999,45.900002,45.900002,138229
4/26/2017,287.100006,289.5,283.350006,286.450012,283.882721,13836891,34.700001,34.849998,33.75,34.299999,34.299999,8419974,133,136,125,129.600006,127.098076,100437,1542.949951,1553,1468.449951,1550.650024,1540.414429,1948963,45.200001,46.950001,43.200001,43.950001,43.950001,119922
4/27/2017,286.450012,287.950012,281.049988,282.049988,279.522125,22622372,34.299999,35.200001,33.75,34.799999,34.799999,12291824,130,134.5,128.800003,132.550003,129.991119,28609,1546.099976,1573.949951,1546.099976,1568.599976,1558.24585,4045105,44,45.349998,43.299999,43.650002,43.650002,76682
4/28/2017,283,290.75,282.5,289.75,287.153137,14152004,34.900002,35.25,34.299999,34.400002,34.400002,9742009,132.050003,132.050003,128.5,129.199997,126.705795,26073,1559.900024,1559.900024,1537.099976,1546.5,1536.291748,1359432,43.650002,45,43.599998,43.799999,43.799999,74253
5/2/2017,289.75,292.5,287.100006,288.299988,285.716125,9754789,34.400002,34.799999,33.549999,33.650002,33.650002,10263644,129.199997,133.399994,124.849998,125.400002,122.979156,74946,1546.5,1550.900024,1530.349976,1540.599976,1530.430664,1001760,43.799999,45.150002,43.400002,43.849998,43.849998,1568179
5/3/2017,289.399994,293.200012,285.799988,289.799988,287.202667,13950914,33.799999,34.049999,32.799999,32.900002,32.900002,9744274,123.099998,127.449997,121,122.699997,120.331276,31999,1554.25,1554.25,1539.349976,1544.300049,1534.106323,626991,44.400002,45.25,43.599998,43.900002,43.900002,33618
5/4/2017,294,300,293.100006,299.049988,296.369781,24534923,33.099998,33.25,31.950001,32.049999,32.049999,10529368,123.300003,126.949997,123.199997,124.849998,122.439774,137178,1539.25,1542.900024,1522.599976,1534.800049,1524.669067,1282757,44.099998,44.099998,41.75,42.049999,42.049999,34787
5/5/2017,301,304.899994,292.149994,296,293.347107,34756331,32.25,32.25,30.950001,31.15,31.15,11802648,124.849998,126.5,123,123.349998,120.968727,30810,1542.099976,1542.900024,1526.300049,1532.199951,1522.08606,689474,42.5,42.5,39.400002,39.75,39.75,119404
5/8/2017,296.100006,300.75,293.899994,299.399994,296.716644,11560550,31.200001,33.099998,31.15,32.450001,32.450001,20904421,124,127.550003,122.5,125.349998,122.930115,29158,1538,1540,1528.550049,1534.800049,1524.669067,936813,40.25,41.450001,39.349998,40.549999,40.549999,57062
5/9/2017,300.899994,300.899994,295.25,296.5,293.842621,7843574,32.5,32.700001,31.700001,32.5,32.5,11734717,125.699997,126.199997,123.25,124.050003,121.65522,72341,1534.800049,1545.599976,1532.650024,1535.75,1525.612793,836459,40.5,40.5,38.950001,39.400002,39.400002,57117
5/10/2017,297,298.149994,293,294.450012,291.811005,8699405,32.5,33.849998,32.349998,33.099998,33.099998,22297849,123.699997,129,123.699997,127.849998,125.381859,52361,1540,1555,1537.050049,1551.800049,1541.556885,585561,40,42,39.5,40.75,40.75,117658
5/11/2017,295.899994,299.399994,294.450012,298.100006,295.428314,11934889,33.299999,33.349998,32.700001,32.950001,32.950001,9467867,128,129,124.75,125.5,123.077225,40397,1551,1560,1541,1546.400024,1536.192505,968936,40.849998,41.349998,39.900002,40.049999,40.049999,38636
5/12/2017,300,302.600006,296,297.899994,295.230072,13376269,32.849998,33.200001,32.25,32.450001,32.450001,7899506,125.199997,125.900002,122.699997,123.050003,120.674522,15686,1545.900024,1556.900024,1536.199951,1551.650024,1541.407837,1536901,40.200001,40.900002,39.049999,39.799999,39.799999,61678
5/15/2017,298.399994,302,297.5,301.399994,298.6987,10383539,32.5,32.599998,31.700001,32,32,7126316,123.650002,130,123.599998,126.949997,124.499229,65465,1550,1557.199951,1542.25,1553.400024,1543.14624,701195,39.700001,42.900002,39.150002,42.299999,42.299999,175157
5/16/2017,302,308.399994,299.350006,307.5,304.744049,17533439,32.049999,32.349998,31.85,32.099998,32.099998,7274881,128.199997,131.800003,126.150002,128.75,126.264481,60556,1555,1562,1548.25,1559.650024,1549.35498,897594,42.849998,43.799999,42.049999,42.799999,42.799999,207044
5/17/2017,308,308.799988,305.5,307.649994,304.8927,14120513,32.099998,32.299999,31.700001,31.950001,31.950001,6245114,128.399994,133.5,128,131.850006,129.304642,38937,1558.800049,1565.400024,1551.5,1557.150024,1546.87146,868118,42.75,42.75,41.400002,41.599998,41.599998,34675
5/18/2017,304.850006,307.899994,302,302.950012,300.234833,15471393,31.6,31.9,31,31.049999,31.049999,11189938,129.699997,134.199997,129.5,131.75,129.206573,25488,1549,1561.5,1548.099976,1557.099976,1546.821777,776820,40.849998,42.799999,40.299999,41.349998,41.349998,51544
5/19/2017,304.450012,315.299988,302,308,305.239563,55250969,31.200001,31.450001,30.25,30.549999,30.549999,11898780,133.899994,135,131,132.149994,129.598846,61763,1559.5,1569.900024,1545.25,1561.25,1550.944458,713534,42,42.25,40.200001,40.700001,40.700001,40221
5/22/2017,308.950012,309.399994,293.200012,294.299988,291.662323,35771221,30.75,30.799999,29.700001,29.799999,29.799999,10150535,133.850006,134.5,131.350006,132.25,129.696915,39902,1565.099976,1580,1563.099976,1576,1565.597046,715013,41.5,41.5,39.5,39.650002,39.650002,69610
5/23/2017,295,295.899994,287.25,288.850006,286.2612,19846852,29.700001,29.799999,27.200001,28,28,25930820,110,121.349998,110,111.599998,109.445564,211159,1580,1583.550049,1565,1569.099976,1558.742554,770043,40.25,40.700001,36.799999,40.200001,40.200001,116285
5/24/2017,290.049988,290.450012,281.649994,283.149994,280.612274,16435958,28,28.200001,25.299999,25.9,25.9,46243616,112,113.150002,98.099998,101.349998,99.39344,159987,1569.050049,1575.449951,1562,1566.75,1556.408081,866847,40.5,41,38.900002,39.799999,39.799999,79056
5/25/2017,284.149994,291.350006,283.549988,290.100006,287.5,15018467,25.9,26.549999,25.15,25.950001,25.950001,28257448,101.949997,106,101,104.650002,102.629738,87812,1567.099976,1629.400024,1567.099976,1617.150024,1606.475464,5022701,39.5,41.099998,39,39.849998,39.849998,18911
5/26/2017,290.5,291,285.299988,288.450012,288.450012,12304394,26,26.299999,25.35,25.75,25.75,14024830,105,112.599998,104.199997,112.199997,110.033974,80650,1606.650024,1632,1601.099976,1626,1615.266968,1360789,40.400002,40.950001,40.25,40.799999,40.799999,37185
5/29/2017,288.899994,290.850006,283.299988,284,284,10619968,25,25.299999,19.700001,20.5,20.5,114681061,112.599998,112.599998,106.849998,107.300003,105.228577,50940,1619.800049,1648,1617.650024,1631.900024,1621.128052,1479085,40.25,40.299999,39,39.700001,39.700001,23991
5/30/2017,283.399994,289.75,281.049988,288.850006,288.850006,9643418,20,22.450001,18.950001,20,20,130001062,105.599998,106.900002,104,106.25,104.198845,41715,1630,1633.5,1616.150024,1629.050049,1618.296875,1108546,39.900002,42.299999,39.450001,41.900002,41.900002,51810
5/31/2017,289,291.5,287.200012,288.299988,288.299988,10697171,20,20.700001,18.1,19.9,19.9,231757141,106.949997,110.400002,105.849998,110,107.87645,48755,1625,1643,1623.150024,1636.199951,1625.399658,1329728,43,44.450001,40,40.099998,40.099998,286334
6/1/2017,287.950012,291.399994,284.600006,287.450012,287.450012,12186700,20.5,21.15,19.85,20.75,20.75,119167702,110.900002,110.900002,108.400002,109.099998,106.993828,32412,1639,1639.849976,1620.550049,1628.599976,1617.849854,839885,38.5,41.25,38.5,40.549999,40.549999,29103
6/2/2017,289.899994,290.5,286.350006,287.049988,287.049988,12004368,20.5,21.65,20.049999,20.65,20.65,92064997,109.150002,110,109.150002,109.650002,107.533211,11381,1634,1646.099976,1626.199951,1634.25,1623.462524,803386,40.950001,40.950001,39.299999,40.150002,40.150002,26739
6/5/2017,288.049988,289.75,286.75,287.25,287.25,7917410,21.4,21.6,20.65,20.799999,20.799999,62528686,109.150002,109.25,104.25,105,102.972977,35437,1633.699951,1638.949951,1625,1635.550049,1624.754028,724975,40.5,41.25,39.75,40.450001,40.450001,22117
6/6/2017,292,292.950012,286.600006,287.299988,287.299988,12346121,20.799999,20.85,19.75,20.15,20.15,44525105,109.699997,109.699997,103,104.5,102.482628,31711,1635,1643.800049,1630,1638.949951,1628.13147,1250658,40.5,40.599998,39.599998,40,40,30866
6/7/2017,288.200012,291.5,287.200012,290.549988,290.549988,10864355,19.700001,19.700001,19.15,19.35,19.35,45032892,103.849998,108.5,103.849998,106.699997,104.640152,36337,1640.400024,1644.900024,1630.349976,1640.800049,1629.96936,638569,39.900002,40.299999,39.049999,39.299999,39.299999,25798
